gender,age,ex,threshold,pfra_points,cur_points,delta,off_chart
F,50-54,clrc,38,11.0,14.8,-3.8000000000000007,False
F,50-54,clrc,37,10.5,14.6,-4.1,False
F,50-54,clrc,36,10.0,14.3,-4.300000000000001,False
F,50-54,clrc,35,9.5,14.1,-4.6,False
F,50-54,clrc,34,9.0,13.9,-4.9,False
F,50-54,clrc,33,8.5,13.7,-5.199999999999999,False
F,50-54,clrc,32,8.0,13.4,-5.4,False
F,50-54,clrc,31,7.5,13.2,-5.699999999999999,False
F,50-54,clrc,30,7.0,13.0,-6.0,False
F,50-54,clrc,29,6.5,12.8,-6.300000000000001,False
F,50-54,clrc,28,6.0,12.5,-6.5,False
F,50-54,clrc,27,5.5,12.3,-6.800000000000001,False
F,50-54,clrc,26,5.0,12.1,-7.1,False
F,50-54,clrc,25,4.5,11.9,-7.4,False
F,50-54,clrc,24,4.0,11.6,-7.6,False
F,50-54,clrc,23,3.5,11.4,-7.9,False
F,50-54,clrc,22,3.0,11.1,-8.1,False
F,50-54,clrc,21,2.5,10.9,-8.4,True
F,50-54,plank,185,15.0,15.0,0.0,False
F,50-54,plank,180,14.5,15.0,-0.5,False
F,50-54,plank,175,14.0,14.8,-0.8000000000000007,False
F,50-54,plank,170,13.5,14.5,-1.0,False
F,50-54,plank,165,13.0,14.1,-1.0999999999999996,False
F,50-54,plank,160,12.5,13.8,-1.3000000000000007,False
F,50-54,plank,155,12.0,13.8,-1.8000000000000007,False
F,50-54,plank,150,11.5,12.8,-1.3000000000000007,False
F,50-54,plank,145,11.0,12.8,-1.8000000000000007,False
F,50-54,plank,140,10.5,12.8,-2.3000000000000007,False
F,50-54,plank,135,10.0,12.8,-2.8000000000000007,False
F,50-54,plank,130,9.5,11.9,-2.4000000000000004,False
F,50-54,plank,125,9.0,11.9,-2.9000000000000004,False
F,50-54,plank,120,8.5,11.9,-3.4000000000000004,False
F,50-54,plank,115,8.0,11.9,-3.9000000000000004,False
F,50-54,plank,110,7.5,10.9,-3.4000000000000004,False
F,50-54,plank,105,7.0,10.9,-3.9000000000000004,False
F,50-54,plank,100,6.5,10.9,-4.4,False
F,50-54,plank,95,6.0,10.9,-4.9,False
F,50-54,plank,90,5.5,9.9,-4.4,False
F,50-54,plank,85,5.0,9.9,-4.9,False
F,50-54,plank,80,4.5,9.9,-5.4,False
F,50-54,plank,75,4.0,9.9,-5.9,False
F,50-54,plank,70,3.5,8.9,-5.4,False
F,50-54,plank,65,3.0,8.9,-5.9,False
F,50-54,plank,60,2.5,8.9,-6.4,True
F,55-59,run,1063,50.0,49.4,0.6000000000000014,False
F,55-59,run,1096,49.5,48.1,1.3999999999999986,False
F,55-59,run,1129,49.0,45.6,3.3999999999999986,False
F,55-59,run,1162,48.0,43.9,4.100000000000001,False
F,55-59,run,1194,47.0,41.8,5.200000000000003,False
F,55-59,run,1227,46.0,39.6,6.399999999999999,False
F,55-59,run,1260,45.0,35.5,9.5,False
F,55-59,run,1293,44.0,34.0,10.0,False
F,55-59,run,1326,43.0,32.5,10.5,False
F,55-59,run,1359,42.0,31.0,11.0,False
F,55-59,run,1392,41.0,31.0,10.0,False
F,55-59,run,1424,40.0,29.5,10.5,False
F,55-59,run,1457,39.0,29.5,9.5,False
F,55-59,run,1490,38.5,29.5,9.0,False
F,55-59,run,1523,38.0,29.5,8.5,False
F,55-59,run,1556,37.5,29.5,8.0,False
F,55-59,run,1589,37.0,29.5,7.5,False
F,55-59,run,1621,36.5,29.5,7.0,False
F,55-59,run,1654,36.0,29.5,6.5,False
F,55-59,run,1687,35.5,29.5,6.0,False
F,55-59,run,1720,35.0,29.5,5.5,True
F,55-59,hamr,53,50.0,49.4,0.6000000000000014,False
F,55-59,hamr,50,49.5,48.8,0.7000000000000028,False
F,55-59,hamr,47,49.0,48.1,0.8999999999999986,False
F,55-59,hamr,44,48.0,47.5,0.5,False
F,55-59,hamr,42,47.0,46.9,0.10000000000000142,False
F,55-59,hamr,39,46.0,46.3,-0.29999999999999716,False
F,55-59,hamr,37,45.0,46.3,-1.2999999999999972,False
F,55-59,hamr,34,44.0,45.6,-1.6000000000000014,False
F,55-59,hamr,32,43.0,45.0,-2.0,False
F,55-59,hamr,30,42.0,43.9,-1.8999999999999986,False
F,55-59,hamr,28,41.0,43.9,-2.8999999999999986,False
F,55-59,hamr,26,40.0,42.9,-2.8999999999999986,False
F,55-59,hamr,25,39.0,41.8,-2.799999999999997,False
F,55-59,hamr,23,38.5,41.8,-3.299999999999997,False
F,55-59,hamr,21,38.0,40.7,-2.700000000000003,False
F,55-59,hamr,20,37.5,39.6,-2.1000000000000014,False
F,55-59,hamr,18,37.0,39.6,-2.6000000000000014,False
F,55-59,hamr,17,36.5,38.6,-2.1000000000000014,False
F,55-59,hamr,15,36.0,37.5,-1.5,False
F,55-59,hamr,14,35.5,37.5,-2.0,False
F,55-59,hamr,13,35.0,35.5,-0.5,True
F,55-59,pushups,31,15.0,15.0,0.0,False
F,55-59,pushups,30,14.5,15.0,-0.5,False
F,55-59,pushups,29,14.0,15.0,-1.0,False
F,55-59,pushups,28,13.5,15.0,-1.5,False
F,55-59,pushups,27,13.0,14.8,-1.8000000000000007,False
F,55-59,pushups,26,12.5,14.6,-2.0999999999999996,False
F,55-59,pushups,25,12.0,14.4,-2.4000000000000004,False
F,55-59,pushups,24,11.5,14.3,-2.8000000000000007,False
F,55-59,pushups,23,11.0,14.0,-3.0,False
F,55-59,pushups,22,10.5,13.5,-3.0,False
F,55-59,pushups,21,10.0,13.2,-3.1999999999999993,False
F,55-59,pushups,20,9.5,12.9,-3.4000000000000004,False
F,55-59,pushups,19,9.0,12.8,-3.8000000000000007,False
F,55-59,pushups,17,8.5,12.5,-4.0,False
F,55-59,pushups,16,8.0,12.3,-4.300000000000001,False
F,55-59,pushups,15,7.5,12.2,-4.699999999999999,False
F,55-59,pushups,14,7.0,12.0,-5.0,False
F,55-59,pushups,13,6.5,11.3,-4.800000000000001,False
F,55-59,pushups,12,6.0,10.5,-4.5,False
F,55-59,pushups,11,5.5,9.8,-4.300000000000001,False
F,55-59,pushups,10,5.0,9.0,-4.0,False
F,55-59,pushups,9,4.5,8.3,-3.8000000000000007,False
F,55-59,pushups,8,4.0,7.5,-3.5,False
F,55-59,pushups,7,3.5,5.3,-1.7999999999999998,False
F,55-59,pushups,6,3.0,3.0,0.0,False
F,55-59,pushups,5,2.5,0.8,1.7,True
F,55-59,hrpu,28,15.0,15.0,0.0,False
F,55-59,hrpu,27,14.5,15.0,-0.5,False
F,55-59,hrpu,26,14.0,15.0,-1.0,False
F,55-59,hrpu,25,13.5,15.0,-1.5,False
F,55-59,hrpu,24,13.0,14.7,-1.6999999999999993,False
F,55-59,hrpu,23,12.5,14.4,-1.9000000000000004,False
F,55-59,hrpu,22,12.0,14.1,-2.0999999999999996,False
F,55-59,hrpu,21,11.5,13.8,-2.3000000000000007,False
F,55-59,hrpu,20,11.0,13.5,-2.5,False
F,55-59,hrpu,19,10.5,13.2,-2.6999999999999993,False
F,55-59,hrpu,18,10.0,12.9,-2.9000000000000004,False
F,55-59,hrpu,17,9.5,12.6,-3.0999999999999996,False
F,55-59,hrpu,16,9.0,12.3,-3.3000000000000007,False
F,55-59,hrpu,15,8.5,12.0,-3.5,False
F,55-59,hrpu,14,8.0,11.7,-3.6999999999999993,False
F,55-59,hrpu,13,7.5,11.4,-3.9000000000000004,False
F,55-59,hrpu,12,7.0,11.1,-4.1,False
F,55-59,hrpu,11,6.5,10.8,-4.300000000000001,False
F,55-59,hrpu,10,6.0,10.5,-4.5,False
F,55-59,hrpu,9,5.5,10.2,-4.699999999999999,False
F,55-59,hrpu,8,5.0,9.9,-4.9,False
F,55-59,hrpu,7,4.5,9.6,-5.1,False
F,55-59,hrpu,6,4.0,9.3,-5.300000000000001,False
F,55-59,hrpu,5,3.5,9.0,-5.5,False
F,55-59,hrpu,4,3.0,8.7,-5.699999999999999,False
F,55-59,hrpu,3,2.5,8.4,-5.9,True
F,55-59,situps,32,15.0,15.0,0.0,False
F,55-59,situps,31,14.5,14.8,-0.3000000000000007,False
F,55-59,situps,30,14.0,14.6,-0.5999999999999996,False
F,55-59,situps,29,13.5,14.4,-0.9000000000000004,False
F,55-59,situps,28,13.0,14.3,-1.3000000000000007,False
F,55-59,situps,27,12.5,13.5,-1.0,False
F,55-59,situps,26,12.0,13.4,-1.4000000000000004,False
F,55-59,situps,25,11.5,13.2,-1.6999999999999993,False
F,55-59,situps,24,11.0,12.9,-1.9000000000000004,False
F,55-59,situps,23,10.5,12.8,-2.3000000000000007,False
F,55-59,situps,22,10.0,12.0,-2.0,False
F,55-59,situps,21,9.5,11.3,-1.8000000000000007,False
F,55-59,situps,20,9.0,11.0,-2.0,False
F,55-59,situps,19,8.5,10.5,-2.0,False
F,55-59,situps,18,8.0,10.2,-2.1999999999999993,False
F,55-59,situps,17,7.5,9.8,-2.3000000000000007,False
F,55-59,situps,16,7.0,9.5,-2.5,False
F,55-59,situps,15,6.5,9.0,-2.5,False
F,55-59,situps,14,6.0,6.8,-0.7999999999999998,False
F,55-59,situps,13,5.5,4.5,1.0,False
F,55-59,situps,12,5.0,2.3,2.7,False
F,55-59,situps,11,4.5,2.3,2.2,False
F,55-59,situps,10,4.0,2.3,1.7000000000000002,False
F,55-59,situps,9,3.5,2.3,1.2000000000000002,False
F,55-59,situps,8,3.0,2.3,0.7000000000000002,False
F,55-59,situps,7,2.5,2.3,0.20000000000000018,True
F,55-59,clrc,44,15.0,15.0,0.0,False
F,55-59,clrc,43,14.5,15.0,-0.5,False
F,55-59,clrc,42,14.0,15.0,-1.0,False
F,55-59,clrc,41,13.5,15.0,-1.5,False
F,55-59,clrc,40,13.0,15.0,-2.0,False
F,55-59,clrc,39,12.5,15.0,-2.5,False
F,55-59,clrc,38,12.0,15.0,-3.0,False
F,55-59,clrc,37,11.5,14.8,-3.3000000000000007,False
F,55-59,clrc,36,11.0,14.6,-3.5999999999999996,False
F,55-59,clrc,35,10.5,14.3,-3.8000000000000007,False
F,55-59,clrc,34,10.0,14.1,-4.1,False
F,55-59,clrc,33,9.5,13.8,-4.300000000000001,False
F,55-59,clrc,32,9.0,13.6,-4.6,False
F,55-59,clrc,31,8.5,13.4,-4.9,False
F,55-59,clrc,30,8.0,13.1,-5.1,False
F,55-59,clrc,29,7.5,12.9,-5.4,False
F,55-59,clrc,28,7.0,12.7,-5.699999999999999,False
F,55-59,clrc,27,6.5,12.5,-6.0,False
F,55-59,clrc,26,6.0,12.2,-6.199999999999999,False
F,55-59,clrc,25,5.5,11.9,-6.4,False
F,55-59,clrc,24,5.0,11.7,-6.699999999999999,False
F,55-59,clrc,23,4.5,11.5,-7.0,False
F,55-59,clrc,22,4.0,11.3,-7.300000000000001,False
F,55-59,clrc,21,3.5,11.0,-7.5,False
F,55-59,clrc,20,3.0,10.8,-7.800000000000001,False
F,55-59,clrc,19,2.5,10.6,-8.1,True
F,55-59,plank,180,15.0,15.0,0.0,False
F,55-59,plank,175,14.5,15.0,-0.5,False
F,55-59,plank,170,14.0,14.8,-0.8000000000000007,False
F,55-59,plank,165,13.5,14.5,-1.0,False
F,55-59,plank,160,13.0,14.1,-1.0999999999999996,False
F,55-59,plank,155,12.5,13.8,-1.3000000000000007,False
F,55-59,plank,150,12.0,13.8,-1.8000000000000007,False
F,55-59,plank,145,11.5,12.8,-1.3000000000000007,False
F,55-59,plank,140,11.0,12.8,-1.8000000000000007,False
F,55-59,plank,135,10.5,12.8,-2.3000000000000007,False
F,55-59,plank,130,10.0,12.8,-2.8000000000000007,False
F,55-59,plank,125,9.5,11.9,-2.4000000000000004,False
F,55-59,plank,120,9.0,11.9,-2.9000000000000004,False
F,55-59,plank,115,8.5,11.9,-3.4000000000000004,False
F,55-59,plank,110,8.0,11.9,-3.9000000000000004,False
F,55-59,plank,105,7.5,10.9,-3.4000000000000004,False
F,55-59,plank,100,7.0,10.9,-3.9000000000000004,False
F,55-59,plank,95,6.5,10.9,-4.4,False
F,55-59,plank,90,6.0,10.9,-4.9,False
F,55-59,plank,85,5.5,9.9,-4.4,False
F,55-59,plank,80,5.0,9.9,-4.9,False
F,55-59,plank,75,4.5,9.9,-5.4,False
F,55-59,plank,70,4.0,9.9,-5.9,False
F,55-59,plank,65,3.5,8.9,-5.4,False
F,55-59,plank,60,3.0,8.9,-5.9,False
F,55-59,plank,55,2.5,8.9,-6.4,True
F,60+,run,1100,50.0,48.1,1.8999999999999986,False
F,60+,run,1134,49.5,45.6,3.8999999999999986,False
F,60+,run,1168,49.0,43.9,5.100000000000001,False
F,60+,run,1202,48.0,41.8,6.200000000000003,False
F,60+,run,1236,47.0,38.6,8.399999999999999,False
F,60+,run,1270,46.0,35.5,10.5,False
F,60+,run,1304,45.0,34.0,11.0,False
F,60+,run,1338,44.0,32.5,11.5,False
F,60+,run,1372,43.0,31.0,12.0,False
F,60+,run,1406,42.0,29.5,12.5,False
F,60+,run,1440,41.0,29.5,11.5,False
F,60+,run,1474,40.0,29.5,10.5,False
F,60+,run,1508,39.0,29.5,9.5,False
F,60+,run,1542,38.5,29.5,9.0,False
F,60+,run,1576,38.0,29.5,8.5,False
F,60+,run,1610,37.5,29.5,8.0,False
F,60+,run,1644,37.0,29.5,7.5,False
F,60+,run,1678,36.5,29.5,7.0,False
F,60+,run,1712,36.0,29.5,6.5,False
F,60+,run,1746,35.5,29.5,6.0,False
F,60+,run,1780,35.0,29.5,5.5,True
F,60+,hamr,50,50.0,50.0,0.0,False
F,60+,hamr,47,49.5,49.4,0.10000000000000142,False
F,60+,hamr,44,49.0,48.8,0.20000000000000284,False
F,60+,hamr,41,48.0,48.1,-0.10000000000000142,False
F,60+,hamr,38,47.0,47.5,-0.5,False
F,60+,hamr,36,46.0,46.9,-0.8999999999999986,False
F,60+,hamr,34,45.0,46.3,-1.2999999999999972,False
F,60+,hamr,32,44.0,45.6,-1.6000000000000014,False
F,60+,hamr,29,43.0,43.9,-0.8999999999999986,False
F,60+,hamr,27,42.0,42.9,-0.8999999999999986,False
F,60+,hamr,26,41.0,42.9,-1.8999999999999986,False
F,60+,hamr,24,40.0,41.8,-1.7999999999999972,False
F,60+,hamr,22,39.0,40.7,-1.7000000000000028,False
F,60+,hamr,20,38.5,39.6,-1.1000000000000014,False
F,60+,hamr,19,38.0,39.6,-1.6000000000000014,False
F,60+,hamr,18,37.5,39.6,-2.1000000000000014,False
F,60+,hamr,17,37.0,38.6,-1.6000000000000014,False
F,60+,hamr,14,36.5,37.5,-1.0,False
F,60+,hamr,13,36.0,37.5,-1.5,False
F,60+,hamr,12,35.5,37.5,-2.0,False
F,60+,hamr,11,35.0,35.5,-0.5,True
F,60+,pushups,28,15.0,15.0,0.0,False
F,60+,pushups,27,14.5,15.0,-0.5,False
F,60+,pushups,26,14.0,15.0,-1.0,False
F,60+,pushups,25,13.5,15.0,-1.5,False
F,60+,pushups,24,13.0,15.0,-2.0,False
F,60+,pushups,23,12.5,15.0,-2.5,False
F,60+,pushups,22,12.0,15.0,-3.0,False
F,60+,pushups,21,11.5,15.0,-3.5,False
F,60+,pushups,20,11.0,14.6,-3.5999999999999996,False
F,60+,pushups,19,10.5,14.3,-3.8000000000000007,False
F,60+,pushups,18,10.0,14.1,-4.1,False
F,60+,pushups,17,9.5,13.5,-4.0,False
F,60+,pushups,16,9.0,13.2,-4.199999999999999,False
F,60+,pushups,15,8.5,12.8,-4.300000000000001,False
F,60+,pushups,14,8.0,12.0,-4.0,False
F,60+,pushups,13,7.5,11.3,-3.8000000000000007,False
F,60+,pushups,12,7.0,10.5,-3.5,False
F,60+,pushups,11,6.5,9.8,-3.3000000000000007,False
F,60+,pushups,10,6.0,9.0,-3.0,False
F,60+,pushups,9,5.5,8.6,-3.0999999999999996,False
F,60+,pushups,8,5.0,8.0,-3.0,False
F,60+,pushups,7,4.5,7.5,-3.0,False
F,60+,pushups,6,4.0,5.3,-1.2999999999999998,False
F,60+,pushups,5,3.5,3.0,0.5,False
F,60+,pushups,4,3.0,0.8,2.2,False
F,60+,pushups,3,2.5,0.8,1.7,True
F,60+,hrpu,26,15.0,15.0,0.0,False
F,60+,hrpu,25,14.5,15.0,-0.5,False
F,60+,hrpu,24,14.0,15.0,-1.0,False
F,60+,hrpu,23,13.5,14.7,-1.1999999999999993,False
F,60+,hrpu,22,13.0,14.4,-1.4000000000000004,False
F,60+,hrpu,21,12.5,14.1,-1.5999999999999996,False
F,60+,hrpu,20,12.0,13.8,-1.8000000000000007,False
F,60+,hrpu,19,11.5,13.5,-2.0,False
F,60+,hrpu,18,11.0,13.2,-2.1999999999999993,False
F,60+,hrpu,17,10.5,12.9,-2.4000000000000004,False
F,60+,hrpu,16,10.0,12.6,-2.5999999999999996,False
F,60+,hrpu,15,9.5,12.3,-2.8000000000000007,False
F,60+,hrpu,14,9.0,12.0,-3.0,False
F,60+,hrpu,13,8.5,11.7,-3.1999999999999993,False
F,60+,hrpu,12,8.0,11.4,-3.4000000000000004,False
F,60+,hrpu,11,7.5,11.1,-3.5999999999999996,False
F,60+,hrpu,10,7.0,10.8,-3.8000000000000007,False
F,60+,hrpu,9,6.5,10.5,-4.0,False
F,60+,hrpu,8,6.0,10.2,-4.199999999999999,False
F,60+,hrpu,7,5.5,9.9,-4.4,False
F,60+,hrpu,6,5.0,9.6,-4.6,False
F,60+,hrpu,5,4.5,9.3,-4.800000000000001,False
F,60+,hrpu,4,4.0,9.0,-5.0,False
F,60+,hrpu,3,3.5,8.7,-5.199999999999999,False
F,60+,hrpu,2,3.0,8.4,-5.4,False
F,60+,hrpu,1,2.5,7.5,-5.0,True
F,60+,situps,31,15.0,15.0,0.0,False
F,60+,situps,30,14.5,14.8,-0.3000000000000007,False
F,60+,situps,29,14.0,14.6,-0.5999999999999996,False
F,60+,situps,28,13.5,14.3,-0.8000000000000007,False
F,60+,situps,27,13.0,14.1,-1.0999999999999996,False
F,60+,situps,26,12.5,13.5,-1.0,False
F,60+,situps,25,12.0,13.4,-1.4000000000000004,False
F,60+,situps,24,11.5,13.2,-1.6999999999999993,False
F,60+,situps,23,11.0,13.1,-2.0999999999999996,False
F,60+,situps,22,10.5,12.9,-2.4000000000000004,False
F,60+,situps,21,10.0,12.8,-2.8000000000000007,False
F,60+,situps,20,9.5,12.6,-3.0999999999999996,False
F,60+,situps,19,9.0,12.5,-3.5,False
F,60+,situps,18,8.5,12.3,-3.8000000000000007,False
F,60+,situps,17,8.0,12.0,-4.0,False
F,60+,situps,16,7.5,11.7,-4.199999999999999,False
F,60+,situps,15,7.0,11.3,-4.300000000000001,False
F,60+,situps,14,6.5,11.0,-4.5,False
F,60+,situps,13,6.0,10.5,-4.5,False
F,60+,situps,12,5.5,9.8,-4.300000000000001,False
F,60+,situps,11,5.0,9.0,-4.0,False
F,60+,situps,10,4.5,6.8,-2.3,False
F,60+,situps,9,4.0,4.5,-0.5,False
F,60+,situps,8,3.5,2.3,1.2000000000000002,False
F,60+,situps,7,3.0,2.3,0.7000000000000002,False
F,60+,situps,6,2.5,2.3,0.20000000000000018,True
F,60+,clrc,42,15.0,15.0,0.0,False
F,60+,clrc,41,14.5,15.0,-0.5,False
F,60+,clrc,40,14.0,15.0,-1.0,False
F,60+,clrc,39,13.5,15.0,-1.5,False
F,60+,clrc,38,13.0,15.0,-2.0,False
F,60+,clrc,37,12.5,15.0,-2.5,False
F,60+,clrc,36,12.0,15.0,-3.0,False
F,60+,clrc,35,11.5,15.0,-3.5,False
F,60+,clrc,34,11.0,15.0,-4.0,False
F,60+,clrc,33,10.5,15.0,-4.5,False
F,60+,clrc,32,10.0,15.0,-5.0,False
F,60+,clrc,31,9.5,14.7,-5.199999999999999,False
F,60+,clrc,30,9.0,14.5,-5.5,False
F,60+,clrc,29,8.5,14.2,-5.699999999999999,False
F,60+,clrc,28,8.0,13.9,-5.9,False
F,60+,clrc,27,7.5,13.6,-6.1,False
F,60+,clrc,26,7.0,13.4,-6.4,False
F,60+,clrc,25,6.5,13.1,-6.6,False
F,60+,clrc,24,6.0,12.8,-6.800000000000001,False
F,60+,clrc,23,5.5,12.5,-7.0,False
F,60+,clrc,22,5.0,12.2,-7.199999999999999,False
F,60+,clrc,21,4.5,11.9,-7.4,False
F,60+,clrc,20,4.0,11.7,-7.699999999999999,False
F,60+,clrc,19,3.5,11.4,-7.9,False
F,60+,clrc,18,3.0,11.1,-8.1,False
F,60+,clrc,17,2.5,10.8,-8.3,True
F,60+,plank,175,15.0,15.0,0.0,False
F,60+,plank,170,14.5,15.0,-0.5,False
F,60+,plank,165,14.0,14.8,-0.8000000000000007,False
F,60+,plank,160,13.5,14.5,-1.0,False
F,60+,plank,155,13.0,14.1,-1.0999999999999996,False
F,60+,plank,150,12.5,13.8,-1.3000000000000007,False
F,60+,plank,145,12.0,13.8,-1.8000000000000007,False
F,60+,plank,140,11.5,12.8,-1.3000000000000007,False
F,60+,plank,135,11.0,12.8,-1.8000000000000007,False
F,60+,plank,130,10.5,12.8,-2.3000000000000007,False
F,60+,plank,125,10.0,12.8,-2.8000000000000007,False
F,60+,plank,120,9.5,11.9,-2.4000000000000004,False
F,60+,plank,115,9.0,11.9,-2.9000000000000004,False
F,60+,plank,110,8.5,11.9,-3.4000000000000004,False
F,60+,plank,105,8.0,11.9,-3.9000000000000004,False
F,60+,plank,100,7.5,10.9,-3.4000000000000004,False
F,60+,plank,95,7.0,10.9,-3.9000000000000004,False
F,60+,plank,90,6.5,10.9,-4.4,False
F,60+,plank,85,6.0,10.9,-4.9,False
F,60+,plank,80,5.5,9.9,-4.4,False
F,60+,plank,75,5.0,9.9,-4.9,False
F,60+,plank,70,4.5,9.9,-5.4,False
F,60+,plank,65,4.0,9.9,-5.9,False
F,60+,plank,60,3.5,8.3,-4.800000000000001,False
F,60+,plank,55,3.0,8.3,-5.300000000000001,False
F,60+,plank,50,2.5,8.3,-5.800000000000001,True
